Pincode,StateName,stateCode
517422,Andhra Pradesh,AD
517429,Andhra Pradesh,AD
517432,Andhra Pradesh,AD
517257,Andhra Pradesh,AD
517423,Andhra Pradesh,AD
517401,Andhra Pradesh,AD
517424,Andhra Pradesh,AD
517350,Andhra Pradesh,AD
517418,Andhra Pradesh,AD
517422,Andhra Pradesh,AD
517326,Andhra Pradesh,AD
517326,Andhra Pradesh,AD
517247,Andhra Pradesh,AD
517132,Andhra Pradesh,AD
517131,Andhra Pradesh,AD
517167,Andhra Pradesh,AD
517325,Andhra Pradesh,AD
517319,Andhra Pradesh,AD
517421,Andhra Pradesh,AD
517127,Andhra Pradesh,AD
517425,Andhra Pradesh,AD
517167,Andhra Pradesh,AD
517247,Andhra Pradesh,AD
517128,Andhra Pradesh,AD
517425,Andhra Pradesh,AD
517350,Andhra Pradesh,AD
517417,Andhra Pradesh,AD
517408,Andhra Pradesh,AD
517408,Andhra Pradesh,AD
517415,Andhra Pradesh,AD
517425,Andhra Pradesh,AD
517002,Andhra Pradesh,AD
517326,Andhra Pradesh,AD
517325,Andhra Pradesh,AD
517325,Andhra Pradesh,AD
517319,Andhra Pradesh,AD
517351,Andhra Pradesh,AD
517129,Andhra Pradesh,AD
517128,Andhra Pradesh,AD
517422,Andhra Pradesh,AD
517370,Andhra Pradesh,AD
517247,Andhra Pradesh,AD
517125,Andhra Pradesh,AD
517128,Andhra Pradesh,AD
517247,Andhra Pradesh,AD
517326,Andhra Pradesh,AD
517129,Andhra Pradesh,AD
517425,Andhra Pradesh,AD
517370,Andhra Pradesh,AD
517432,Andhra Pradesh,AD
517408,Andhra Pradesh,AD
517416,Andhra Pradesh,AD
517167,Andhra Pradesh,AD
517002,Andhra Pradesh,AD
517132,Andhra Pradesh,AD
517408,Andhra Pradesh,AD
517247,Andhra Pradesh,AD
517167,Andhra Pradesh,AD
517599,Andhra Pradesh,AD
517129,Andhra Pradesh,AD
517350,Andhra Pradesh,AD
517257,Andhra Pradesh,AD
517247,Andhra Pradesh,AD
517408,Andhra Pradesh,AD
517417,Andhra Pradesh,AD
517247,Andhra Pradesh,AD
517319,Andhra Pradesh,AD
517425,Andhra Pradesh,AD
517429,Andhra Pradesh,AD
517429,Andhra Pradesh,AD
517432,Andhra Pradesh,AD
517424,Andhra Pradesh,AD
517401,Andhra Pradesh,AD
517124,Andhra Pradesh,AD
517350,Andhra Pradesh,AD
517125,Andhra Pradesh,AD
517390,Andhra Pradesh,AD
517390,Andhra Pradesh,AD
517127,Andhra Pradesh,AD
517418,Andhra Pradesh,AD
517280,Andhra Pradesh,AD
517127,Andhra Pradesh,AD
517247,Andhra Pradesh,AD
517419,Andhra Pradesh,AD
517416,Andhra Pradesh,AD
517123,Andhra Pradesh,AD
517417,Andhra Pradesh,AD
517423,Andhra Pradesh,AD
517416,Andhra Pradesh,AD
517423,Andhra Pradesh,AD
517130,Andhra Pradesh,AD
517247,Andhra Pradesh,AD
517125,Andhra Pradesh,AD
517132,Andhra Pradesh,AD
517401,Andhra Pradesh,AD
517257,Andhra Pradesh,AD
517403,Andhra Pradesh,AD
517132,Andhra Pradesh,AD
517419,Andhra Pradesh,AD
517421,Andhra Pradesh,AD
517419,Andhra Pradesh,AD
517417,Andhra Pradesh,AD
517002,Andhra Pradesh,AD
517391,Andhra Pradesh,AD
517326,Andhra Pradesh,AD
517247,Andhra Pradesh,AD
517167,Andhra Pradesh,AD
517167,Andhra Pradesh,AD
517414,Andhra Pradesh,AD
517257,Andhra Pradesh,AD
517432,Andhra Pradesh,AD
517424,Andhra Pradesh,AD
517432,Andhra Pradesh,AD
517280,Andhra Pradesh,AD
517425,Andhra Pradesh,AD
517370,Andhra Pradesh,AD
517126,Andhra Pradesh,AD
517425,Andhra Pradesh,AD
517418,Andhra Pradesh,AD
517419,Andhra Pradesh,AD
517421,Andhra Pradesh,AD
517131,Andhra Pradesh,AD
517124,Andhra Pradesh,AD
517429,Andhra Pradesh,AD
517408,Andhra Pradesh,AD
517599,Andhra Pradesh,AD
517129,Andhra Pradesh,AD
517401,Andhra Pradesh,AD
517132,Andhra Pradesh,AD
517424,Andhra Pradesh,AD
517257,Andhra Pradesh,AD
517408,Andhra Pradesh,AD
517004,Andhra Pradesh,AD
517132,Andhra Pradesh,AD
517257,Andhra Pradesh,AD
517408,Andhra Pradesh,AD
517319,Andhra Pradesh,AD
517432,Andhra Pradesh,AD
517131,Andhra Pradesh,AD
517124,Andhra Pradesh,AD
517257,Andhra Pradesh,AD
517391,Andhra Pradesh,AD
517425,Andhra Pradesh,AD
517415,Andhra Pradesh,AD
517125,Andhra Pradesh,AD
517390,Andhra Pradesh,AD
517391,Andhra Pradesh,AD
517257,Andhra Pradesh,AD
517247,Andhra Pradesh,AD
517257,Andhra Pradesh,AD
517423,Andhra Pradesh,AD
517418,Andhra Pradesh,AD
517401,Andhra Pradesh,AD
517417,Andhra Pradesh,AD
517408,Andhra Pradesh,AD
517126,Andhra Pradesh,AD
517128,Andhra Pradesh,AD
517350,Andhra Pradesh,AD
517426,Andhra Pradesh,AD
517130,Andhra Pradesh,AD
517124,Andhra Pradesh,AD
517326,Andhra Pradesh,AD
517127,Andhra Pradesh,AD
517128,Andhra Pradesh,AD
517247,Andhra Pradesh,AD
517126,Andhra Pradesh,AD
517391,Andhra Pradesh,AD
517130,Andhra Pradesh,AD
517167,Andhra Pradesh,AD
517247,Andhra Pradesh,AD
517247,Andhra Pradesh,AD
517124,Andhra Pradesh,AD
517131,Andhra Pradesh,AD
517129,Andhra Pradesh,AD
517326,Andhra Pradesh,AD
517429,Andhra Pradesh,AD
517401,Andhra Pradesh,AD
517423,Andhra Pradesh,AD
517401,Andhra Pradesh,AD
517125,Andhra Pradesh,AD
517403,Andhra Pradesh,AD
517417,Andhra Pradesh,AD
517370,Andhra Pradesh,AD
517370,Andhra Pradesh,AD
517001,Andhra Pradesh,AD
517002,Andhra Pradesh,AD
517326,Andhra Pradesh,AD
517123,Andhra Pradesh,AD
517418,Andhra Pradesh,AD
517167,Andhra Pradesh,AD
517352,Andhra Pradesh,AD
517414,Andhra Pradesh,AD
517421,Andhra Pradesh,AD
517129,Andhra Pradesh,AD
517126,Andhra Pradesh,AD
517370,Andhra Pradesh,AD
517426,Andhra Pradesh,AD
517401,Andhra Pradesh,AD
517423,Andhra Pradesh,AD
517129,Andhra Pradesh,AD
517127,Andhra Pradesh,AD
517167,Andhra Pradesh,AD
517599,Andhra Pradesh,AD
517599,Andhra Pradesh,AD
517425,Andhra Pradesh,AD
517432,Andhra Pradesh,AD
517425,Andhra Pradesh,AD
517123,Andhra Pradesh,AD
517423,Andhra Pradesh,AD
517257,Andhra Pradesh,AD
517390,Andhra Pradesh,AD
517390,Andhra Pradesh,AD
517426,Andhra Pradesh,AD
517599,Andhra Pradesh,AD
517167,Andhra Pradesh,AD
517247,Andhra Pradesh,AD
517257,Andhra Pradesh,AD
517004,Andhra Pradesh,AD
517370,Andhra Pradesh,AD
517391,Andhra Pradesh,AD
517390,Andhra Pradesh,AD
517280,Andhra Pradesh,AD
517429,Andhra Pradesh,AD
517004,Andhra Pradesh,AD
517124,Andhra Pradesh,AD
517419,Andhra Pradesh,AD
517124,Andhra Pradesh,AD
517418,Andhra Pradesh,AD
517416,Andhra Pradesh,AD
517123,Andhra Pradesh,AD
517131,Andhra Pradesh,AD
517415,Andhra Pradesh,AD
517352,Andhra Pradesh,AD
517415,Andhra Pradesh,AD
517421,Andhra Pradesh,AD
517416,Andhra Pradesh,AD
517416,Andhra Pradesh,AD
517351,Andhra Pradesh,AD
517132,Andhra Pradesh,AD
517414,Andhra Pradesh,AD
517126,Andhra Pradesh,AD
517129,Andhra Pradesh,AD
517126,Andhra Pradesh,AD
517131,Andhra Pradesh,AD
